"","Family","Species","Mean_m","Mean_f","Median_m","Median_f","Maximum_m","Maximum_f","BM_g","n","Type","Source"
"276","Cricetidae","Peromyscus maniculatus bairdi",NA,NA,NA,NA,"1.22",1.22,NA,"","D","(Stickel 1968)"
"277","Cricetidae","Ondatra zibethicus",NA,NA,NA,NA,"3.37",3.37,NA,"","D","(Fitch 1958)"
"278","Octodontidae","Octodon degus **",NA,NA,NA,NA,"0.2",0.2,NA,"39 m 39 f","D","(Quirici et al. 2011)"
"279","Ochotonidae","Ochotona collaris",0.332,0.332,NA,NA,"",NA,NA,"35 mf","D","(Franken & Hik 2004)"
"280","Ochotonidae","Ochotona princeps",NA,NA,NA,NA,"0.17",0.31,100,"","D","(Smith & Ivins 1983)"
"281","Ochotonidae","Ochotona princeps",0.09,0.09,NA,NA,"0.396",0.396,100,"15 mf","D","(Peacock & Smith 1997)"
"282","Leporidae","Oryctolagus cuniculus",0.535,0.535,NA,NA,"",NA,NA,"307 mf","D","(Parer 1982)"
"283","Leporidae","Lepus americanus",NA,NA,NA,NA,"4.83",4.83,NA,"","H","(Keith & Waring 1956)"
"284","Leporidae","Lepus americanus",7.177,7.177,3.37,3.37,"",20.117,NA,"3 m 1 f","D","(O'Farrell 1965)"
"285","Leporidae","Lepus europaeus",NA,NA,3.002,2.04,"8.92",8.92,4175,"30 mf","D","(Avril et al. 2011)"
"286","Leporidae","Lepus europaeus",NA,NA,1.523,2.743,"17.353",17.353,4175,"42 m 45 f","D","(Bray et al. 2007)"
"287","Leporidae","Lepus europaeus",NA,NA,NA,NA,"8.5",8.5,4175,"132 mf","D","(Broekhuizen & Maaskamp 1982)"
"288","Leporidae","Lepus europaeus",NA,NA,NA,NA,"9",9,4175,"505 mf","H","(Broekhuizen & Maaskamp 1982)"
"289","Leporidae","Lepus timidus",NA,NA,3,3,"200",200,4175,"99 mf","D","(Vuolanto, Myrberget, Hoglund in
Angerbjörn & Flux 1995)"
"290","Leporidae","Lepus timidus",NA,NA,NA,NA,"1.815",NA,4175,"","D","(Dahl & Willebrand 2005)"
"291","Leporidae","Lepus californicus",NA,NA,NA,NA,"",45.061,4175,"208 mf","D","(French, McBride & Detmer 1965)"
"292","Leporidae","Lepus californicus",NA,NA,NA,NA,"1.61",1.61,4175,"","H","(Lechleitner 1958)"
"293","Leporidae","Brachylagus idahoensis",NA,NA,1,2.9,"6.5",11.9,NA,"","D","(Estes-Zumpf & Rachlow 2009)"
"294","Leporidae","Brachylagus idahoensis",NA,NA,NA,NA,"2.5",2.5,NA,"","H","(Green & Flinders 1980)"
"295","Leporidae","Brachylagus idahoensis",NA,NA,NA,NA,"3.5",NA,NA,"","D","(Katzner & Parker 1998)"
"296","Leporidae","Sylvilagus bachmani ubericolor",NA,NA,NA,NA,"0.16",0.16,NA,"","H","(Chapman 1971)"
"297","Leporidae","Sylvilagus bachmani",NA,NA,NA,NA,"25.75",25.75,NA,"3 mf","D","(Hickie & Whitlock 1940)"
"298","Leporidae","Sylvilagus bachmani",NA,NA,NA,NA,"3.86",3.86,NA,"4 mf","D","(Dalke & Sime 1938)"
"299","Leporidae","Sylvilagus bachmani",NA,NA,NA,NA,"1.609",1.609,NA,"1 mf","D","(Allen 1939)"
"300","Leporidae","Sylvilagus bachmani",NA,NA,NA,NA,"1.081",1.081,NA,"10 mf","D","(Schwartz 1941)"
"301","Leporidae","Sylvilagus bachmani",NA,NA,NA,NA,"0.352",0.352,NA,"7 mf","D","(Shields 1960)"
"302","Leporidae","Sylvilagus floridanus",NA,NA,NA,NA,"4.8",4.8,1150,"","H","(Bowers 1954)"
"303","Leporidae","Sylvilagus floridanus",NA,NA,NA,NA,"7.65",7.65,1150,"","H","(Hoffmeister 1977)"
"304","Leporidae","Sylvilagus floridanus",NA,NA,NA,NA,"19.32",19.32,1150,"","H","(Bowers 1954)"
"305","Elephantidae","Loxodonta africana",NA,NA,NA,NA,"170",NA,4800000,"2 m","P","(Pinter-Wollman 2008)"
"306","Rhinocerotidae","Ceratotherium simum",NA,NA,NA,NA,"257",257,2175000,"27 mf","P","(Støen, Pitlagano & Moe 2009)"
"307","Rhinocerotidae","Ceratotherium simum",NA,NA,NA,NA,"",7,2175000,"6 m 2 f","D","(Shrader & Owen-Smith 2002)"
"308","Equidae","Equus caballus",NA,NA,NA,NA,"24",8,3e+05,"31 m 32 f","D","(Berger 1987)"
"309","Antilocapridae","Antilocapra americana",54.21,26.35,12.9,18.45,"267",75.8,46100,"9 m 10 f","D","(Jacques & Jenks 2007)"
"310","Giraffidae","Giraffa camelopardalis
thornicrofti",11.4,11.4,NA,NA,"",NA,NA,"8 mf","D","(Bercovitch & Berry 2010)"
"311","Bovidae","Aepyceros melampus",1.2,NA,NA,NA,"3.2",NA,52500,"26 m","D","(Murray 1982)"
"312","Bovidae","Syncerus caffer",NA,NA,120,120,"133",133,7e+05,"5 mf","D","(Halley et al. 2002)"
"313","Bovidae","Capricornis crispus",NA,NA,4,NA,"",NA,80000,"","D","(Okumura et al. in Ochiai & Susaki
2007)"
"314","Bovidae","Rupicapra rupicapra",5.95,5.8,4.1,4,"17",10.7,37500,"8 m 4 f","D","(Loison, Jullien & Menaut 1999)"
"315","Bovidae","Rupicapra pyrenaica",10.6,8.25,6,7,"32",14,NA,"13 m 9 f","D","(Loison, Jullien & Menaut 1999)"
